filename,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
AlaZnCl_no_solvent,-3.700821546,-3.027295327,-1.318557727,1.209726006,-2.441855045,0.012071182,-0.392611219,0.365995201,2.819779827,-0.870746877,-0.578502619,1.851842158,0.369293,-0.326373045,-0.776872051,0.431792899,1.419769249,0.299709747,-0.359592921,0.792442997,0.286935128,0.367379943,0.323247736,-0.444576391,0.209723897,-0.22469409,-0.018726888,0.617084815,-0.616574189,0.13223544,-0.61110452,-0.259727315,0.055082241,0.18328729,-0.240600784,-0.289694353,-0.180540826,-0.160472329,-0.053135321,0.07467115,-0.167886858,0.046041995,-0.189361472,-0.224709367,0.305534578,0.187543243,0.309961748,-0.170974506,-0.154620869,-0.100769086,-0.286693846,-0.023559258,-0.290175203,-0.053469337,-0.051134642,0.080566658,-0.162887471,0.030317528,0.142268687,-0.189826987
AlaZnOAc_no_solvent,-3.105358044,-2.365081173,-1.11052306,0.669440441,-0.709364859,0.564433584,-0.665245464,-0.914847345,1.842641415,-0.376498211,-0.689615966,1.976556553,0.025078563,-0.774667315,-0.600989921,-0.205885223,1.594920732,0.557152497,-0.190066802,-0.181826832,-0.231290684,0.98351003,0.375025819,0.008858237,0.25881632,0.713194991,-0.107032031,0.356755926,-0.187985761,0.515541835,0.135788196,0.263003265,0.065649858,0.43417775,-0.171466282,-0.051593796,-0.077030119,-0.130140862,-0.261045515,0.213874192,-0.420221155,-0.132171348,-0.031813179,-0.27342185,0.204701186,0.023457324,0.003507392,-0.434897637,0.03912925,-0.24274327,-0.310732534,-0.432587254,-0.065629808,-0.017659587,0.033443457,-0.037897167,-0.082253398,0.026881505,-0.004635723,-0.166238507
Bio-MOF-11_no_solvent,-3.674155235,-1.221252067,1.682193973,-1.333252538,-1.482113032,0.496146087,1.095071741,-0.733586082,0.614847491,-0.793080186,-0.334286365,0.729629304,0.953731281,0.263969009,-1.302144114,-0.099079655,-0.302652975,0.559142631,0.926651127,0.363710719,0.758082031,0.443320639,-1.117249771,-0.409802764,-0.021768345,1.061174066,-0.017865504,0.138784253,0.257022283,0.000320017,0.242336514,-0.046057661,0.01042775,0.277910034,0.797157926,-0.056167189,0.519741843,0.272923526,0.028742273,-0.110591118,-0.064187906,-0.090420817,0.1238792,0.015977557,-0.188576439,0.19276527,-0.040932151,0.060128952,0.024259976,-0.008464739,-0.010195073,0.106851951,0.18694271,-0.190348988,-0.111709264,0.057875275,0.096103521,-0.186350405,-0.046682659,-0.145750175
Bio-MOF-12_no_solvent,-3.996780767,-0.886939411,1.271004556,-0.877481972,-0.982617396,-0.465785168,0.694494635,-0.372659163,0.739491467,-0.500225124,0.276575412,0.039236783,0.631961086,0.247318695,-1.122414679,-0.242056727,-0.634663885,0.319254839,0.876123079,0.680919372,0.87123464,0.204158656,-1.306360179,-0.52618508,0.030845031,0.663727979,-0.075420138,0.09741984,0.188410849,-0.011639407,0.208423813,-0.21598259,0.138200834,0.219545706,0.696317419,-0.078045701,0.517443118,0.2944297,0.003506833,-0.102160453,-0.099223886,-0.074266521,0.097791002,0.079285491,-0.194672442,0.195540279,-0.012467664,0.069421797,0.028239955,0.013000356,-0.010815631,0.211277824,0.107634976,-0.248377411,-0.095502223,0.043248735,0.12522483,-0.127702194,-0.033782943,-0.171123848
Bio-MOF-13_no_solvent,-8.479243602,1.02378389,-9.921136651,0.035562027,10.10214657,1.340619016,-1.249316708,2.79244886,-4.580609235,-2.110094626,-6.632850461,0.585275046,-1.248764774,-1.44998599,-0.424689487,-0.639599704,-1.128266834,-0.182407747,0.715912174,0.159688881,1.139945772,0.672584114,-2.041634164,0.571699527,0.449257924,0.465964904,0.323468603,-1.078622248,-0.084455448,-0.59121187,-0.293405593,-0.267505742,1.213931205,-0.199126745,1.052215506,0.627603969,0.324926581,0.450756652,0.107057863,-0.811515038,-0.574370651,-0.489435555,0.282697813,0.164153256,0.139948956,0.22386726,0.046686028,-0.77963099,0.069050131,-0.700953002,-0.354091624,-0.354246241,0.108417666,-0.020569353,0.094371338,0.152820461,0.129650582,-0.239744714,0.208023623,-0.098758374
Bio-MOF-14_no_solvent,-11.212962,5.907602973,-11.45095014,6.646160935,9.109157792,-15.25257854,-3.457778746,7.198264522,-1.572669112,3.501643749,0.173240582,-2.05915405,-1.364458228,0.649760395,2.016712384,-4.656091182,-1.279475832,-1.134223778,1.054357791,0.26367558,0.846134184,0.078783895,-2.29263965,-1.366849679,0.909336873,0.480118303,0.47636796,-0.406969252,0.292186301,-0.85367312,-0.546623556,0.064742034,0.394172131,0.020446351,0.298327359,0.223799847,0.080172666,0.458827621,0.241952361,-0.645150825,-0.096830191,-0.228618936,0.27225668,0.141892335,-0.17725056,-0.160893552,0.11083009,-0.109600068,-0.126796725,-0.127874262,-0.034661486,0.140123075,0.117544858,0.010607008,-0.395037452,-0.411651492,0.151867436,0.004546045,0.182808239,-0.185206063
BUT-12_no_solvent,5.827896084,-2.097516389,-0.600729364,2.915675995,-1.946903279,0.08106564,-2.975493089,-0.009073251,-0.37542998,-1.531635011,0.674191948,1.572860344,-0.152693107,0.271021574,0.501862692,-0.535114928,-0.528493122,-0.791443844,0.106656619,-0.427785222,-0.092235547,0.238319294,-0.137725563,-0.059018475,0.229931936,0.097941964,0.115757946,0.267939958,-0.301998176,-0.659093564,0.065314817,-0.075048704,0.767511385,-0.311808355,0.065002853,-0.042231243,-0.045533188,-0.341588353,0.601191222,0.373492242,0.280969206,-0.224987085,-0.068665453,0.273033203,0.325805697,-0.17915402,0.100231467,-0.726241205,-0.380729207,0.295246182,-0.108196362,0.25389903,-0.300983117,-0.128119933,0.047823923,0.076291022,0.037320174,0.024824954,0.033330466,-0.028468707
BUT-13_no_solvent,6.126234728,-2.298722802,-0.077093939,2.778614436,-2.037153166,1.073557041,-2.546447249,0.164739548,-0.659311443,-1.514643772,1.223374294,0.919345996,-0.282347454,0.393151326,0.449986613,-0.148263692,-0.379593985,-0.763481086,-0.256122098,-0.17584902,0.010495671,0.06993215,0.16242099,0.088937293,-0.019410652,0.236766473,-0.323584309,0.219334573,-0.266846815,-0.771536413,-0.20944341,0.148143613,0.589080023,-0.147409364,0.006080284,-0.064861507,-0.030961881,-0.101284682,0.29311434,0.007351617,0.027606309,0.011927262,-0.226359748,0.130680669,-0.085786158,-0.024336574,0.048591376,-0.103401018,-0.061676399,0.12526959,-0.17398023,0.034162332,-0.042446078,0.049512489,-0.024751487,0.040708225,-0.011646008,0.068447638,-0.106812383,-0.028865278
BUT-14_no_solvent,5.23006488,-1.94300895,-1.401880632,3.200479718,-0.35992317,-0.437154071,-2.666537011,1.925179382,-1.595480156,-0.52155887,2.884742463,-1.276161892,-1.114057619,0.91367855,0.954570253,-0.163360529,-0.105712496,-0.406189984,-0.65594347,0.294689917,0.419325411,-0.122577574,0.139149947,0.24159316,-0.232954988,0.430440024,-0.469117014,-0.004359951,-0.445748838,-0.725243206,-0.423715955,0.098998233,0.596907721,-0.193631816,-0.188476405,-0.058487966,-0.06734467,-0.11374745,0.236634617,-0.179191188,0.007912556,-0.003101396,-0.287806755,0.12914097,-0.132633314,-0.049671586,0.045188541,0.007410697,-0.022870596,0.131148652,-0.232914293,-0.034296452,-0.050828745,0.05882701,-0.046410543,0.049540005,-0.01495274,0.104494683,-0.116364112,-0.010577625
BUT-15_no_solvent,4.198114436,3.856445765,2.195459571,0.176040295,1.257384717,-0.45845041,-0.679079097,-2.267782827,-3.786006736,0.592415164,3.021416954,-1.407368977,-3.523827494,-0.632931851,1.747772255,-1.779195193,-0.421709649,0.376142594,0.011642162,-0.124334626,-0.355036852,0.458515922,1.08408583,0.724648324,0.603225531,0.331745327,-0.429245329,-0.255799382,-0.227993012,-1.05645707,-0.534334545,-0.01636704,0.421695304,-0.059924015,-0.196895378,0.257292162,-0.287540709,-0.49441085,0.447610522,0.097916321,-0.255794055,-0.352016318,0.093015284,0.242488442,-0.463895936,0.198902896,0.275112464,-0.110579019,-0.228067365,-0.074533191,-0.026087029,0.043869794,-0.001653395,0.087122606,0.102668312,-0.324495206,0.146658072,-0.007086229,0.121500035,0.024807412
BUT-17_no_solvent,6.074295299,-2.967772427,-0.770147058,1.545744459,-1.253668495,0.051648173,-2.385989882,0.843341544,-1.44591219,-0.514414509,2.2563342,0.234673954,-0.295280936,0.876967782,0.713910532,-0.486897204,-0.011235605,-0.359539576,-0.348565812,0.179690198,0.457685936,0.034472098,0.136227844,0.036300404,-0.282552741,0.207205797,-0.21405987,0.071039241,-0.400601967,-0.557242066,-0.160221268,-0.152725605,0.35288301,-0.061789543,-0.042151043,-0.016912696,-0.051939024,-0.03887489,0.14164217,-0.115530231,0.076327608,0.021085552,-0.213148959,0.102563937,-0.10512155,-0.012002748,-0.058774864,-0.004652272,-0.070373535,0.165770425,-0.079601301,-0.023775324,-0.0191206,0.112952282,-0.038749664,-0.00512737,-0.010904702,0.070946086,-0.013677943,-0.002388774
BUT-173_no_solvent,4.521738181,-4.676090357,1.37918086,3.091185083,-0.116192012,-0.308215527,-0.663762919,0.198093761,0.103169818,1.739944437,-0.562181362,0.599380821,0.948252375,-0.399983231,-0.392602419,-0.442671331,0.488005213,0.613815746,0.236935431,-0.090970831,-0.134371934,-0.672620773,-0.525548793,1.162358109,0.24582619,-0.367795876,-0.295915772,0.821999972,0.981470107,0.56770064,-0.139366527,0.383919252,0.401149466,-0.386419554,-0.068091745,-0.239074079,0.205124673,-0.060433602,0.424480382,0.177516587,0.272000194,0.0647603,0.151116378,-0.081141214,-0.109093722,0.149982712,0.005272996,-0.16420316,0.182034649,-0.133227899,0.272091829,0.063388867,0.16154554,-0.136401427,0.060707768,0.001630337,-0.074255574,-0.014675105,-0.025277345,0.058617721
